productId,salesRs,brRs,repeatCount
dummy99,65919,27027,4
dummy100,76419,33624,3
dummy101,70499,26085,6
dummy102,122973,45500,3
dummy103,118709,52232,0
dummy104,119574,32285,2
dummy105,98416,35430,6
dummy106,111637,52469,5
dummy107,63153,28419,6
dummy108,95777,31606,1
dummy109,84661,21165,6
dummy110,40698,17907,2
dummy111,79402,32555,4
dummy112,70722,24753,8
dummy113,83887,40266,3
dummy114,20687,7861,0
dummy115,53705,20945,7
dummy116,128202,66665,0
dummy117,84217,40424,7
dummy118,42079,14728,3
dummy119,21381,8125,2
dummy120,61081,31762,5
dummy121,135347,40604,7
dummy122,97395,49671,3
dummy123,31316,10961,4
dummy124,71814,35907,5
dummy125,42224,21112,1
dummy126,105156,57836,7
dummy127,15886,5084,0
dummy128,42998,21069,5
dummy129,136601,47810,1
dummy130,35789,19684,1
dummy131,129984,67592,0
dummy132,27661,9405,6
dummy133,85197,24707,8
dummy134,123236,50527,3
dummy135,82673,28109,5
dummy136,93913,43200,3
dummy137,38769,18221,7
dummy138,123815,60669,6
dummy139,124559,49824,1
dummy140,15927,4778,2
dummy141,34120,8871,1
dummy142,49382,21234,4
dummy143,96988,36855,5
dummy144,107009,29963,4
dummy145,97939,33299,2
dummy146,51658,15497,8
dummy147,80369,28129,0
dummy148,61539,15385,8
dummy149,138516,49866,6
dummy150,85646,37684,4
dummy151,109689,35100,7
dummy152,15669,4857,5
dummy153,68930,26883,6
dummy154,129262,36193,7
dummy155,79129,33234,8
dummy156,35443,10987,2
dummy157,105237,46304,0
dummy158,53730,28477,3
dummy159,108524,34728,7
dummy160,111868,29086,5
dummy161,87043,42651,4
dummy162,59729,19113,2
dummy163,11091,3660,6
dummy164,51927,21290,8
dummy165,19034,6852,5
dummy166,129604,38881,5
dummy167,66204,17875,0
dummy168,11704,5618,8
dummy169,93191,29821,5
dummy171,14853,4901,3
dummy172,72927,29171,8
dummy173,42451,21226,2
dummy180,67925,31925,4
dummy184,124051,47139,1
dummy189,117389,61042,5
dummy212,46019,24850,1
dummy214,119416,31048,5
dummy217,33039,10572,6
dummy234,60776,21272,2
dummy237,109234,46971,8
dummy243,118908,40429,7
dummy246,60367,23543,7
dummy248,83132,34915,5
dummy260,22203,5551,3
dummy263,85536,21384,1
dummy276,68760,30942,4
dummy278,65130,20842,1
dummy279,55214,23742,6
dummy280,133697,69522,2
dummy288,88894,32891,7
dummy289,90174,36971,0
dummy290,77770,38885,6
dummy291,60883,26180,4
dummy292,81494,44822,5
dummy312,45873,17890,6
dummy324,126580,48100,2
dummy331,124338,67143,1
dummy332,101606,36578,0
dummy338,48344,12569,8
dummy348,23712,7588,0
dummy353,54540,18544,6
dummy360,111330,54552,8
dummy363,134081,60336,6
dummy365,84746,38136,5
dummy373,84857,28851,8
dummy375,92083,44200,2
dummy389,49931,23468,8
dummy398,44449,23113,3
dummy399,49450,23736,1
dummy401,89969,22492,2
dummy415,133609,46763,1
dummy418,138594,44350,6
dummy429,20125,10868,7
dummy431,15939,7013,3
dummy432,139752,54503,2
dummy442,65049,17563,6
dummy449,118203,36643,6
dummy456,50671,13174,1
dummy473,20084,8636,3
dummy481,42054,15139,1
dummy482,49379,23702,5
dummy483,124057,38458,6
dummy484,39490,20535,1
dummy485,86124,22392,0
dummy486,65909,35591,7
dummy487,127515,33154,0
dummy502,138053,59363,8
dummy504,105531,28493,7
dummy505,17014,6125,0
dummy507,93385,43891,3
dummy510,73119,35097,4
dummy511,112222,41522,1
dummy516,65704,33509,6
dummy518,98140,41219,5
dummy519,103143,34037,2
dummy520,63907,22367,6
dummy521,17072,7170,8
dummy529,116393,58197,3
dummy530,121363,50972,0
dummy531,49781,21904,7
dummy532,55204,29258,5
dummy533,116974,57317,3
dummy534,66918,30782,3
dummy535,100619,52322,1
dummy536,80049,27217,3
dummy537,40410,11719,7
dummy538,75376,28643,7
dummy539,46912,13604,6
