Product Name,Category,Sub-category,Techncal composition,SKU,Duration (only for Seeds),Type of grain/fruit,Seed rate,Crop/Target Crop,Insect/Disease/Deficiency,Dosage,Time of sowing /Time of application,Method of application,Geographies,Disclaimer,Season,1 lineShort Description,"USP's (For CCC, Include mode of action here)",Product Unique ID*,SKU FG Code*,Additional Information,Status*
SHRIRAM NUCROP,Plant Nutrition,Secondary Nutrients,65% Sulphur & 18% Zinc Granules,"5kg, 10kg",,,,"Sugarcane, Oilseeds & Pulses",,10-20 kg/acre,At Sowing stage,Basal,All India,,"Rabi, Kharif","Delivers season-long Sulphur & Zinc for better crop growth, richer taste, and improved soil health.","Season long supply of Sulphur and Zinc (high NUE)
Compatible with other dry blend fertiliser & Nitrogen-free Sulphur: Safe for use with seeds
Helps for faster growth, sugar recovery, taste and essence
Improves soil health, pH & nutrient capital",Dummy11,DummyFG11,Add information for searchability,Active
SHRIRAM B'SULF,Plant Nutrition,Secondary Nutrients,90% Sulphur & 10% Bentonite,"5kg, 10kg, 25kg",,,,All Crops,,10-20 kg/acre,Before Sowing stage during Soil Preparation/ Leveling,Broadcasting,All India,,"Rabi, Kharif","Boosts oil content in oilseeds, preserves aroma and taste, and enhances baking quality in cereals.

","Increases oil percentage in oilseed crops
Maintains taste and odour of produce
Increases milling and baking quality of Wheat",Dummy12,DummyFG12,Add information for searchability,Active
SHRIRAM ZINDRIP,Plant Nutrition,Liquid Fertilizers,Zinc Oxide SC (39.5% Zn),"100ml, 250ml, 500ml, 1L",,,,All Crops,,"Foliar: 500ml/acre
Drip: 1-2 ltr/acre",At Vegetative Growth stage,Foliar & Fertigation,All India,,"Rabi, Kharif","Fast-absorbing Zinc (80% in 2 hrs) for strong growth, better greening, and excellent tank mixability.","Powered by proprietary technologies like E2DA (for performance) & SmartFlow (for formulation) 
Higher Nutrient Use Efficiency (NUE) than any other Zinc chelates or Zinc Oxide suspensions available in India (80% uptake within 2 hours)
Upto 900% higher suspensibility than alternatives
High tank mix compatibility & long shelf-life",Dummy13,DummyFG13,Add information for searchability,Active
SHRIRAM BORKY,Plant Nutrition,Liquid Fertilizers,Boron Ethanolamine Liquid (10% B),"100ml, 250ml, 500ml, 1L",,,,All Crops,,250ml/acre,At Flowering Initiation stage,Foliar,All India,,"Rabi, Kharif","Efficient Boron for improved flowering, fruit set, and yield—safe and quickly absorbed.","Powered by proprietary E2DA performance technology 
Higher Nutrient Use Efficiency (NUE) than any other Boron liquid (80% uptake within 2 hours)
Enhances vine growth, number of fruits, fruit size, fruit retention and overall yield
High tank mix compatibility & safe for handling",Dummy14,DummyFG14,Add information for searchability,Active
SHRIRAM CALIFIC,Plant Nutrition,Liquid Fertilizers,Concentrated Liquid Calcium oxide SC (11% Ca),"100ml, 250ml, 500ml, 1L",,,,All Crops,,2.5 - 3 ml/ liter of water,At Vegetative Growth stage & During Fruit Development stage,Foliar,All India,,"Rabi, Kharif","Liquid Calcium for firm fruits, reduced cracking, and better shelf life—also boosts stress resistance.","Powered by proprietary technologies like E2DA (for performance) & SmartFlow (for formulation) 
High Nutrient Use Efficiency (NUE) i.e. 80% uptake within 2 hours 
Excellent for boosting fruit quality and minimizing fruit cracking issues & increasing fruit shelf-life
Silica Oxide added for enhancing stress protection abilities of the crop",Dummy15,DummyFG15,Add information for searchability,Active
SHRIRAM BOSS,Plant Nutrition,Micronutrients,Boron 20% (Di-Sodium Octaborate Tetrahydrate),"100g, 250g, 500g, 1kg",,,,All Crops,,200 g/acre,At Flowering Initiation stage,Foliar & Fertigation,All India,,"Rabi, Kharif","Water-soluble Boron that boosts pollination, flower retention, and nodulation in legumes.","o Water soluble in nature
 o Increases pollen viability & pollination efficiency
 o Effective for improving flower & fruit retention
 o Boosts nodulation in legume crops",Dummy16,DummyFG16,Add information for searchability,Active
SHRIRAM TURBO-Zn,Plant Nutrition,Micronutrients,Chelated Zinc EDTA 12%,"100g, 250g, 500g, 1kg",,,,All Crops,,"Foliar: 1-1.5 gm/Ltr
Soil: 0.5-1kg/acre",At Vegetative Growth stage,Foliar & Fertigation,All India,,"Rabi, Kharif","Chelated Zinc EDTA for healthy growth, enzymatic activity, and timely flowering—works across all soils.","Water soluble in nature
Boosts enzymatic activities & crop health
Ensures timely fruit and flower development
Stable formulation suitable for all types of soil",Dummy17,DummyFG17,Add information for searchability,Active
SHRIRAM TURBO-MIX,Plant Nutrition,Micronutrients,"State-specific Chelated Micronutrient Mixture (Zn,Fe,Mn,Cu,B,Mo etc)","100g, 250g, 500g, 1kg",,,,All Crops,,200 - 250 g/acre,At Vegetative Growth stage,Foliar & Fertigation,All India,,"Rabi, Kharif",Balanced micronutrient mix for correcting hidden deficiencies and enhancing overall crop health.,"o Water soluble in nature
 o Improves crop health by addressing various micronutrient deficiencies
 o Boosts overall performance of the crop",Dummy18,DummyFG18,Add information for searchability,Active
SHRIRAM TRIPTI,Plant Nutrition,Micronutrients,"State-specific Chelated Micronutrient Mixture (Zn,Fe,Mn,Cu,B,Mo etc)","1kg, 5kg, 10kg",,,,All Crops,,"Foliar: 1-1.5 gm/Ltr
Soil: 0.75-1kg/acre","Within 25 days of sowing
During flowering and fruit formation (foliar application)",Broadcasting & Foliar,All India,,"Rabi, Kharif",,"o Provides multiple micronutrients in balanced proportion
 o Helps address deficiencies which might not even be clearly visible
 o Boosts overall performance of the crop",Dummy19,DummyFG19,Add information for searchability,Active
SHRIRAM TRIPTI GOLD,Plant Nutrition,Micronutrients,"State-specific Chelated Micronutrient Mixture (Zn,Fe,Mn,Cu,B,Mo etc)","1kg, 5kg, 10kg",,,,All Crops,,"Foliar: 1-1.5 gm/Ltr
Soil: 0.75-1kg/acre","Within 25 days of sowing
During flowering and fruit formation (foliar application)",Broadcasting & Foliar,All India,,"Rabi, Kharif",Complete micronutrient blend that addresses invisible deficiencies and strengthens plant performance.,"o Provides multiple micronutrients in balanced proportion
 o Helps address deficiencies which might not even be clearly visible
 o Boosts overall performance of the crop",Dummy20,DummyFG20,Add information for searchability,Active
SHRIRAM DECABOR,Plant Nutrition,Micronutrients,Boron 10.5% (Di Sodium Tetraborate Decahydrate),1kg,,,,All Crops,,8-10 kg/acre,At Sowing stage,Basal,All India,,"Rabi, Kharif","Soil-applied Boron for stronger roots, better pollination, and reduced flower/fruit drop.","o Aids in root development
 o Increases pollination efficiency: better flower and fruit set
 o Prevents premature fruit & flower drop",Dummy21,DummyFG21,Add information for searchability,Active
SHRIRAM FEGRO,Plant Nutrition,Micronutrients,Chelated Iron HEDP 17%,"100g, 250g, 500g, 1kg",,,,All Crops,,"Basal: 0.5-1 kg/acre in 10-20 kg of soil
Foliar: 0.5-0.75 g/lit of water","Basal: After last paddling and leveling of field 
Foliar: As and when required",Basal & Foliar,All India,,"Rabi, Kharif",Fast-acting chelated Iron for immediate correction of deficiency and lush green canopy.,"Higher NUE than any other chelated Fe product
Ameliorates iron deficiency immediately
Plays a major role in maintaining greenery & healthy canopy",Dummy22,DummyFG22,Add information for searchability,Active
SHRIRAM TURBO-Fe,Plant Nutrition,Micronutrients,Chelated Iron EDTA 12%,"100g, 250g, 500g, 1kg",,,,All Crops,,1-1.5 g/lit of water,Before & During Flowering stage,Foliar,All India,,"Rabi, Kharif","Chelated Iron EDTA for chlorosis control, greenery, and effective performance in alkaline soils.","o Highly effective against Chlorosis
 o Stable formulation suitable for high pH soils
 o Plays a major role in maintaining greenery & healthy canopy",Dummy23,DummyFG23,Add information for searchability,Active
SHRIRAM ZINTOK,Plant Nutrition,Micronutrients,Chelated Zinc HEDP 17%,"100g, 250g, 500g, 1kg",,,,All Crops,,"Basal: 0.5-1 kg/acre in 10-20 kg of soil
Foliar: 0.5-0.75 g/lit of water","Basal: After last paddling and leveling of field 
Foliar: As and when required",Basal & Foliar,All India,,"Rabi, Kharif","Chelated Zinc HEDP with superior absorption for vigour, flowering, and better enzymatic activity.","Higher NUE than any other chelated Zn product
Boosts enzymatic activity & growth vigour 
Effective in flowering & fruit set improvement",Dummy24,DummyFG24,Add information for searchability,Active
SHRIRAM ZINFIT-M,Plant Nutrition,Secondary Nutrients/ Micronutrient,33% Zinc and 15% Sulphur (Zinc Mono),"250g, 300g, 1kg, 4kg, 4kg (jar) 5kg",,,,All Crops,,"Soil: 4-5 kg/acre
Foliar: 2-2.5 g/lit of water",At Vegetative Growth stage,Soil & Foliar,All India,,"Rabi, Kharif",High Zinc & Sulphur blend for strong vegetative growth and timely flower/fruit initiation.,"o Easily translocated within plants
 o Helps in growth and development of crops
 o Helps in timely initiation of flowers & fruits",Dummy25,DummyFG25,Add information for searchability,Active
SHRIRAM ZINFIT-H,Plant Nutrition,Secondary Nutrients/ Micronutrient,21% Zinc and 10% Sulphur (Zinc Hepta),"1kg, 5kg, 10kg, 20kg, 25kg, 50kg",,,,All Crops,,"Soil: 8-10 kg/acre
Foliar: 2-2.5 g/lit of water",At Vegetative Growth stage,Soil & Foliar,All India,,"Rabi, Kharif","Zinc Hepta formula supporting growth, internal mobility, and reproductive development.","o Easily translocated within plants
 o Helps in growth and development of crops
 o Helps in timely initiation of flowers & fruits",Dummy26,DummyFG26,Add information for searchability,Active
SHRIRAM FERROUS SULPHATE,Plant Nutrition,Secondary Nutrients/ Micronutrient,19% Iron & 10.5% Sulphur,"100g, 250g, 500g, 1kg",,,,All Crops,,"Soil: 4-5 kg/acre
Foliar: 2-2.5 g/lit of water",At Vegetative Growth stage,Soil & Foliar,All India,,"Rabi, Kharif","Iron-Sulphur mix that corrects chlorosis, enhances greenery, and drives enzymatic activity.

","o Effective against chlorosis
 o Boosts greenness in plants
 o Plays a role in numerous enzymatic activities",Dummy27,DummyFG27,Add information for searchability,Active
SHRIRAM SPRAYIT Sugarcane,Plant Nutrition,Foliar Nutrients,NPK 10:30:20 + 0.1% B + TE,"500g, 1kg",,,,Sugarcane,,7.5-12 g/lit of water,At Vegetative Growth stage & At Active Tillering stage (2 sprays),Foliar,All India,,Kharif,"Boosts tillers, sugar recovery, juice quality & crop health with vital trace elements for peak performance.","o Boost the number of effective tillers
 o Improves sugar recovery & juice percent
 o Improves crop health & yield significantly
 o Enriched with trace elements
Optimal crop performance combined with reduction in the usage of multiple fertilisers",Dummy28,DummyFG28,Add information for searchability,Active
SHRIRAM SPRAYIT Vegetables,Plant Nutrition,Foliar Nutrients,NPK 15:10:30 + 4% S + TE,"5kg, 10kg, 25kg",,,,All Vegetables,,7.5-12 g/lit of water,"At Flowering Initiation stage till Fruit Maturity stage (3 sprays, 2 weeks apart)",Foliar,All India,,"Rabi, Kharif","Enhances flowering, fruit set & quality with balanced nutrition and essential micronutrients—max yield, less fertilizer.","o Boosts flowering & fruit set significantly
 o Enhances physical characteristics of the fruit
 o Balanced nutrition in critical growth stages
 o Enriched with trace elements including essential micronutrients - Optimal crop performance combined with reduction in the usage of multiple fertilisers",Dummy29,DummyFG29,Add information for searchability,Active
SHRIRAM SPRAYIT Cotton,Plant Nutrition,Foliar Nutrients,NPK 06:12:36 + 4% S + 0.3% B + TE,"500g, 1kg",,,,Cotton,,10-15 g/lit of water,"Square Formation stage & Boll Development stage (2 sprays, 2 weeks apart)",Foliar,All India,,Kharif,"Drives bigger bolls, stronger shiny fibers & higher yields with balanced nutrition and key trace elements.","o Boosts flowering & fruit set significantly
 o Shinier, longer & stronger fibres
 o Enhances boll size, no. of bolls & avg. weight per boll
 o Balanced nutrition in critical growth stages
 o Enriched with trace elements",Dummy30,DummyFG30,Add information for searchability,Active
SHRIRAM SPRAYIT Potato,Plant Nutrition,Foliar Nutrients,NPK 10:05:40 + 2.5% S + 0.2% B + TE,"500g, 1kg",,,,Potato,,7.5-12 g/lit of water,"Tuber Initiation stage & Tuber Development stage (2 sprays, 2 weeks apart)",Foliar,All India,,Rabi,"Increases tuber count, size, shine & shelf life with enriched micronutrients for top crop quality.","o Increases the number of tubers per plant
o Improves tuber size & shine
 o Ensures longer shelf-life of the produce
 o Improves dry matter content
 o Enriched with trace elements including essential micronutrients - Optimal crop performance combined with reduction in the usage of multiple fertilisers",Dummy31,DummyFG31,Add information for searchability,Active
SHRIRAM NISUS,Plant Nutrition,Secondary Nutrients,NPK 12:11:18 + 7.5% S + 2% MgO,"10kg, 25kg",,,,All Crops,,25-50 kg/acre,At Sowing stage or At First Irrigation,Basal & Broadcasting,All India,,"Rabi, Kharif","Uniform granules with quick nutrient release for balanced growth, enhanced taste, and ideal for chloride-sensitive crops.","o All nutrients uniformly present in each granule
 o Fast dissolution in the soil and immediate nutrient release
 o Ensures uniform vegetative growth
 o Enhances taste, color and aroma resulting in better realizations for growers
 o Highly recommended for chloride-sensitive crops",Dummy32,DummyFG32,Add information for searchability,Active
SHRIRAM GIBSTAR,Plant Nutrition,PGRs,Gibberellic Acid 0.001% L,"100ml, 250ml, 500ml, 1L, 5L",,,,All Crops,,1ml/litre (Foliar),Before Flowering stage and During Fruit Development stage,Foliar,All India,,"Rabi, Kharif","Increases fruit size, sugar content, and improves fruit setting by inducing male flowers in select plants.","Enhances fruit size & increases fruit weight
Induces male flower formation, if pre-flowering spray is taken in Monoecious & Gynoecious plants, thus, improving fruit setting
Increases sugar content in fruits resulting in better tasting fruits",Dummy33,DummyFG33,Add information for searchability,Active
SHRIRAM REPROZIN,Plant Nutrition,Biostimulants,"1% Vitamins & 4 % Antioxidants (Humic Acid, Fulvic Acid, Ascorbic Acid)","100 ml, 250 ml, 500ml, 1l",,,,All Crops,,"Soil: 1 l/acre 
Foliar: 500 ml/acre/spray (2 sprays)",During Vegetative Growth stage & At Flowering stage,Soil & Foliar,All India,,"Rabi, Kharif","Boosts reproduction, speeds stress recovery, enhances nutrient uptake via root-microbe interaction, and strengthens disease resistance.","Strengthens the plant’s ability to enter the reproduction stage. The product is designed based on the philosophy of ""Healthy mothers, Healthy babies"" 
 Helps plants recover quickly from high stress conditions
Increases absorption of nutrients by promoting ‘root-microbial' interactions
Stimulates the plant's immune system to improve resistance against diseases & pests
Boosts overall yield of the crop",Dummy34,DummyFG34,Add information for searchability,Active
SHRIRAM ULTRAZIB-40,Plant Nutrition,PGRs,Gibberellic Acid 40% WSG,2.5g sachets,,,,All Crops,,2.5 grams in 100 litres of water,Seed Treatment & Foliar spray as per requirement of the crop,Seed Treatment & Foliar,All India,,"Rabi, Kharif","Highly soluble gibberellic acid for seed and foliar use; improves germination, and shelf life.","o 100% soluble & stable in wide range of temperatures
 o Highly effective for seed treatment: Improves germination, early vegetative growth, tillering/ branching & root development
 o Highly effective for fruit treatment: Uniform size, Quicker fruit development, fruit colour vibrancy & shine, and better shelf life",Dummy35,DummyFG35,Add information for searchability,Active
SHRIRAM ZIVA-NXT (Soil),Plant Nutrition,Biofertilizers,Mycorrhiza Bio-Fertiliser,"1.25kg, 2.5kg, 5kg, 10kg",,,,All Crops,,4-6 kg/acre,At Sowing stage or At First Irrigation,Basal & Broadcasting,All India,,"Rabi, Kharif","Mycorrhiza biofertilizer that enhances soil fertility, root growth, plant vigor, and nutrient efficiency for better yields.","o Increases soil fertility & overall yield
 o Fastens root development (length and spread)
 o Boosts vegetative growth
 o Increased availability of nutrients in the soil & overall NUE of the plant",Dummy36,DummyFG36,Add information for searchability,Active
SHRIRAM ZIVA (Drip),Plant Nutrition,Biofertilizers,Mycorrhiza Bio-Fertiliser,100g,,,,All Crops,,100-200 g/acre,At Sowing stage or At First Irrigation,Fertigation,All India,,"Rabi, Kharif","Fertigation biofertilizer improving soil health, root spread, and nutrient uptake for higher yields.","o Increases soil fertility & overall yield
 o Fastens root development (length and spread)
 o Boosts vegetative growth
 o Increased availability of nutrients in the soil & overall NUE of the plant",Dummy37,DummyFG37,Add information for searchability,Active
SHRIRAM MYRO-NXT,Plant Nutrition,Biofertilizers,Mycorrhiza Bio-Fertiliser,"5kg, 10kg",,,,All Crops,,4-6 kg/acre,At Sowing stage or At First Irrigation,Basal & Broadcasting,All India,,"Rabi, Kharif","Mycorrhiza biofertilizer boosting soil fertility, root development, and crop growth.","o Increases soil fertility
 o Fastens root development (length and spread)
 o Boosts vegetative growth
 o Increased availability of nutrients in the soil",Dummy38,DummyFG38,Add information for searchability,Active
SHRIRAM VITAPHOS,Plant Nutrition,PGRs,Phosphate Rich Organic Manure,"10kg, 50kg",,,,All Crops,,5-10 kg/acre,At Sowing stage,Basal,All India,,"Rabi, Kharif","Phosphorus-rich organic manure that balances soil pH, improves nutrient availability, and increases water retention.","o Corrects the pH of soil
 o Increases availability of nutrients to plants
 o Rich and organic source of Phosphorus resulting in higher bio-availability of 'P'
 o Improves water holding capacity of the soil",Dummy39,DummyFG39,Add information for searchability,Active
SHRIRAM ENERGY (Water Soluble),Plant Nutrition,Secondary Nutrients,"Calcium Nitrate (Ca 18.5%, N 15.5%)","1kg, 10kg, 25kg",,,,All Crops,,"Foliar: 5-10 gm/ Lit
Drip: 1kg/day/acre",At Sowing stage or At First Irrigation,Foliar & Fertigation,All India,,"Rabi, Kharif","High calcium & nitrogen for strong roots, active nitrogen fixation, and better storage quality","o Essential for cell division, which leads to better growth of roots and branches of the plant
 o Improves the growth of root glands and keeps symbiotic bacteria more active, thereby, stabilizing more nitrogen from the atmosphere
 o Increases storage properties of produce",Dummy40,DummyFG40,Add information for searchability,Active
Shriram Protobuz,Plant Nutrition,Biostimulants,Chelated Zinc as Zn-Glycine,"100ml, 250ml, 500ml, 1L",,,,All Crops,,2.5 ml/litre,During Vegetative Growth stage & At Flowering stage,Foliar,All India,,"Rabi, Kharif","Chelated Zinc (Zn-Glycine) to boost protein levels, enhance produce quality, and improve yields.","Increased Protein content
Improves quality of the produce
Boosts overall crop yield",Dummy41,DummyFG41,Add information for searchability,Active
Shriram Protobuz+,Plant Nutrition,Biostimulants,"Chelated Zinc as Zn-Glycine (with Patented Nano Liquid Technology, USA)","100ml, 250ml, 500ml, 1L",,,,All Crops,,"Spray: 500 ml. per Acre (With Minimum 2 Sprays of 15-20 Days Gap)
Drip: 1 Ltr. per Acre (With Minimum 2 Applications of 15-20 Day Gap)",During Vegetative Growth stage & At Flowering stage,Foliar & Fertigation,All India,,"Rabi, Kharif","Nano Zinc technology from the USA to power early growth, improve grain/fruit quality, and protect from heat stress.","Boosts Crop vigour during early growth stages.
Improves the Quality of Grains & Fruits.
Protects Crops from excessive heat.",Dummy42,DummyFG42,Add information for searchability,Active
Shriram Dripit Vegetables,Plant Nutrition,Fertigation,"
Grade I: NPK 18:15:16 + 4% Sulphur + 0.1% Boron + TE
Grade II: NPK 15:10:30 + 4% Sulphur + TE","5kg, 10kg, 25kg",,,,Vegetables,,"Grade I : 50kg (1kg / Day / Acre @ Vegetative Growth stage)
Grade II : 75kg (1kg / Day / Acre @ Fruit Development to Maturity stage)","Grade I: 10 Days After Sowing to till Fruit setting stage
Grade II: After Fruit setting stage to Fruit Development stage.",Fertigation,All India,,"Rabi, Kharif","Balanced fertigation in two growth phases with NPK, sulphur, boron, and trace elements.","Balanced nutrition including N:P:K
Micro & Secondary Nutrients (Higher NUE)
Uniformity in fruit Size / Shine
Increase Number of Fruits & Fruit size (Total Yield)",Dummy43,DummyFG43,Add information for searchability,Active
Shriram Metasy,Plant Nutrition,Biostimulants,Seaweed Extract 15%,"100ml, 250ml, 500ml, 1L",,,,All Crops,,"Foliar: 500ml/ acre @ 2 sprays 
Drip: 1-2 litres/acre",During Vegetative stage or Flowering Stage or whenever the crop is under stress,"Foliar 
Drip",All India,,"Rabi, Kharif","Organic seaweed extract that boosts yield, improves white root growth, enhances nutrient uptake, and is residue-free.","Boosts yield and produce quality
Increase white root formation
Improves nutrition use efficiency
Biodegradable, residue-free & organic",Dummy44,DummyFG44,Add information for searchability,Active
Shriram Limabor,Plant Nutrition,Micronutrients,14.5% Boron (Di-Sodium Tetraborate Pentahydrate),1 kg,,,,All Crops,,5-8 kg/ acre (soil application),Vegetative Growth Stage & Flowering Stage.,Basal,All India,,"Rabi, Kharif","High-boron formula for better pollination, flower/fruit retention, and nodulation in legumes.","Improves pollen viability
Improves nodulation in legume crops
Effective for improving flower and fruit retention",Dummy45,DummyFG45,Add information for searchability,Active
Shriram Manganese Sulphate,Plant Nutrition,Secondary Nutrients,Sulphates (30% Manganese and 17% Sulphur),,,,,All Crops,,"4-5 kg/ acre (soil application)
2-2.5 gm/ litre (foliar application)",Vegetative Growth stage,Soil & Foliar,All India,,"Rabi, Kharif","Boosts photosynthesis and auxin levels, while building natural disease resistance — essential for healthy, high-performing crops.","Improves photosynthesis
Improves auxin levels
Provides resistance against diseases",Dummy46,DummyFG46,Add information for searchability,Active
Shriram Magnesium Sulphate,Plant Nutrition,Secondary Nutrients,Sulphates (9.5% Magnesium and 12% Sulphur),,,,,All Crops,,"20-25 kg/ acre (soil application)
2-2.5 gm/ litre (foliar application)",Vegetative Growth stage & Flowering stage,Soil & Foliar,All India,,"Rabi, Kharif","Unlocks vigorous vegetative growth and vibrant flowering, while enhancing flavour and shelf life — fully water-soluble for instant impact.","Improved flower bloom and vegetative growth
Enhances the flavour of fruits and vegetables
Water soluble in nature",Dummy47,DummyFG47,Add information for searchability,Active
Shriram Magnica,Plant Nutrition,Liquid Fertilizers,Calcium Nitrate fortified with Magnesium (suspension),"100ml, 250ml, 500ml, 1 ltr",,,,"Apple,
Citrus,
Grapes,
Stone fruits,
Pomegranate,
Cotton,
Vegetables",,"5 ml/ltr: for fruits
2.5ml/ltr: for vegetables & cotton
(Use 2-4 lts per acre)","Apple, Citrus- Fruit set, fruit development
Grapes- Cane development to maturity, at veraison
Stone fruits- At petals fall, fruit development
Pomegranate- Fruit set, fruit development
Cotton- Boll development
Vegetables- Single picking- At fruit development
 Multi picking- At fruit setting",Drip,All India,,"Rabi, Kharif","Next-gen Calcium + Magnesium suspension that maximizes fruit quality, improves resilience, and delivers higher returns per acre.","Increased plant resilience
Optimized fruit production and quality
Develops disease resistance",Dummy48,DummyFG48,Add information for searchability,Active
