pincode,state,district,subDistrict,locality
413324,MAHARASHTRA,SOLAPUR,Mohol,Wadachiwadi
413401,MAHARASHTRA,SOLAPUR,Barshi,Arangaon
413402,MAHARASHTRA,SOLAPUR,Barshi,Barshi
413403,MAHARASHTRA,SOLAPUR,Barshi,Pimpari (Pangaon)
413404,MAHARASHTRA,SOLAPUR,Barshi,Barshi
413405,MAHARASHTRA,OSMANABAD,Osmanabad,Gopalwadi
413406,MAHARASHTRA,SOLAPUR,Barshi,Ambegaon
413409,MAHARASHTRA,SOLAPUR,Barshi,Babhulgaon
413410,MAHARASHTRA,SOLAPUR,Madha,Wakav
413411,MAHARASHTRA,SOLAPUR,Barshi,Barshi
413412,MAHARASHTRA,SOLAPUR,Barshi,Dhorale
413501,MAHARASHTRA,OSMANABAD,Osmanabad,Ansurda
413502,MAHARASHTRA,OSMANABAD,Paranda,Awar pimpri
413503,MAHARASHTRA,OSMANABAD,Washi,Borgaon
413504,MAHARASHTRA,OSMANABAD,Paranda,Bhandgaon
413505,MAHARASHTRA,OSMANABAD,Paranda,Bhirgarwadi
413506,MAHARASHTRA,OSMANABAD,Osmanabad,Baramgaon Bk.
413507,MAHARASHTRA,OSMANABAD,Kalamb,Bhatsangvi
413508,MAHARASHTRA,OSMANABAD,Osmanabad,Kaudgaon (Bavi)
413509,MAHARASHTRA,OSMANABAD,Osmanabad,Anandwadi
413510,MAHARASHTRA,LATUR,Latur,Nandgaon
413511,MAHARASHTRA,LATUR,Ausa,Ausa RD STN
413512,MAHARASHTRA,LATUR,Latur,Latur
413513,MAHARASHTRA,LATUR,Chakur,Brahamwadi
413514,MAHARASHTRA,LATUR,Ahmadpur,Bhavanwadi
413515,MAHARASHTRA,LATUR,Ahmadpur,Anandwadi
413516,MAHARASHTRA,LATUR,Renapur,Bhandarwadi
413517,MAHARASHTRA,LATUR,Udgir,Ashrachiwadi
413518,MAHARASHTRA,LATUR,Udgir,Anandwadi
413519,MAHARASHTRA,LATUR,Deoni,Anantwadi
413520,MAHARASHTRA,LATUR,Ausa,Barhanpur
413521,MAHARASHTRA,LATUR,Nilanga,Ambulga Bk.
413522,MAHARASHTRA,LATUR,Nilanga,Aurad (sha)
413523,MAHARASHTRA,LATUR,Jalkot,Belsangvi
413524,MAHARASHTRA,LATUR,Chakur,Kabansangvi
413525,MAHARASHTRA,OSMANABAD,Kalamb,Gaur
413526,MAHARASHTRA,OSMANABAD,Washi,Brahmagaon
413527,MAHARASHTRA,LATUR,Renapur,Anandwadi
413528,MAHARASHTRA,OSMANABAD,Kalamb,Borgaon Kaij
413529,MAHARASHTRA,LATUR,Chakur,Devnagar Tanda
413530,MAHARASHTRA,LATUR,Nilanga,Dapka
413531,MAHARASHTRA,LATUR,Latur,Anandwadi
413532,MAHARASHTRA,LATUR,Jalkot,Atnoor
413534,MAHARASHTRA,OSMANABAD,Bhum,Beleshwar
413544,MAHARASHTRA,LATUR,Ahmadpur,Hingangaon
413581,MAHARASHTRA,LATUR,Chakur,Ashta
413582,MAHARASHTRA,OSMANABAD,Osmanabad,Ambejawalga
413601,MAHARASHTRA,OSMANABAD,Tuljapur,Arali Bk.
413602,MAHARASHTRA,OSMANABAD,Lohara,Bhosga
413603,MAHARASHTRA,OSMANABAD,Tuljapur,Chavhanwadi
413604,MAHARASHTRA,OSMANABAD,Umarga,Jakekur
413605,MAHARASHTRA,OSMANABAD,Umarga,Kanthekur
413606,MAHARASHTRA,OSMANABAD,Umarga,Ashta Jahangir
413607,MAHARASHTRA,LATUR,Nilanga,Badur
413608,MAHARASHTRA,OSMANABAD,Lohara,Kamalpur
413623,MAHARASHTRA,OSMANABAD,Tuljapur,Khadki
413624,MAHARASHTRA,OSMANABAD,Tuljapur,Dahiwadi
413701,MAHARASHTRA,AHMED NAGAR,Shrigonda,Hiradgaon
413702,MAHARASHTRA,AHMED NAGAR,Shrigonda,Belwandi Bk.
413703,MAHARASHTRA,AHMED NAGAR,Shrigonda,Chambhurdi
413704,MAHARASHTRA,AHMED NAGAR,Rahuri,Dhamori Kh.
413705,MAHARASHTRA,AHMED NAGAR,Rahuri,Bala wadi
413706,MAHARASHTRA,AHMED NAGAR,Rahuri,Daradgaon Tarf Belapur
413707,MAHARASHTRA,AHMED NAGAR,Shrirampur,Naygaon
413708,MAHARASHTRA,AHMED NAGAR,Rahta,Bhahirwadi
413709,MAHARASHTRA,AHMED NAGAR,Shrirampur,Shrirampur
413710,MAHARASHTRA,AHMED NAGAR,Rahta,Bhagwatipur
413711,MAHARASHTRA,AHMED NAGAR,Rahuri,Malewadi/Dukrewadi
413712,MAHARASHTRA,AHMED NAGAR,Rahta,Ayodhyanagar
413713,MAHARASHTRA,AHMED NAGAR,Rahta,Loni Kh.
413714,MAHARASHTRA,AHMED NAGAR,Sangamner,Manchi
413715,MAHARASHTRA,AHMED NAGAR,Shrirampur,ambalner
413716,MAHARASHTRA,AHMED NAGAR,Rahuri,Deolali Pravara
413717,MAHARASHTRA,AHMED NAGAR,Shrirampur,Karegaon
413718,MAHARASHTRA,AHMED NAGAR,Shrirampur,Bramhangaon Vetal
413719,MAHARASHTRA,AHMED NAGAR,Rahta,Ekrukhe
413720,MAHARASHTRA,AHMED NAGAR,Shrirampur,Khandala
413721,MAHARASHTRA,AHMED NAGAR,Rahuri,Bodhegaon
413722,MAHARASHTRA,AHMED NAGAR,Rahuri,Babhul;gaon
413723,MAHARASHTRA,AHMED NAGAR,Rahta,Chitali
413725,MAHARASHTRA,AHMED NAGAR,Shrirampur,Ghogargaon
413726,MAHARASHTRA,AHMED NAGAR,Shrigonda,Kansewadi
413728,MAHARASHTRA,AHMED NAGAR,Shrigonda,Babar vasti
413736,MAHARASHTRA,AHMED NAGAR,Rahta,Chinchpur
413737,MAHARASHTRA,AHMED NAGAR,Rahta,Babhaleshwar Kh.
413738,MAHARASHTRA,AHMED NAGAR,Sangamner,kansewadi
413739,MAHARASHTRA,AHMED NAGAR,Shrirampur,Wadala Mahadeo
413801,MAHARASHTRA,PUNE,Daund,Kalewadi (nv)
413802,MAHARASHTRA,PUNE,Daund,Jiregaon
414001,MAHARASHTRA,AHMED NAGAR,Nagar,Nagar
414002,MAHARASHTRA,AHMED NAGAR,Nagar,Agadgaon
414003,MAHARASHTRA,AHMED NAGAR,Nagar,Sawedi
414005,MAHARASHTRA,AHMED NAGAR,Nagar,Nepti
414006,MAHARASHTRA,AHMED NAGAR,Nagar,Kalewadi
414101,MAHARASHTRA,AHMED NAGAR,Shrigonda,Bangarde
414102,MAHARASHTRA,AHMED NAGAR,Pathardi,Alhanwadi
414103,MAHARASHTRA,AHMED NAGAR,Parner,Jakhangaon
414105,MAHARASHTRA,AHMED NAGAR,Nevasa,Belhekarwadi
414106,MAHARASHTRA,AHMED NAGAR,Pathardi,Ghatshiras
414110,MAHARASHTRA,AHMED NAGAR,Nagar,MIRC
414111,MAHARASHTRA,AHMED NAGAR,Nagar,Boriche Lavan
414113,MAHARASHTRA,AHMED NAGAR,Pathardi,Badewadi
414201,MAHARASHTRA,AHMED NAGAR,Nagar,Bhatodi Pargaon
414202,MAHARASHTRA,BEED,Ashti,Ambhora
414203,MAHARASHTRA,BEED,Patoda,Antapur
414204,MAHARASHTRA,BEED,Patoda,Bhusanarwadi (N.V.)
414205,MAHARASHTRA,BEED,Georai,Dharwanta
414208,MAHARASHTRA,BEED,Ashti,Kasari
414301,MAHARASHTRA,AHMED NAGAR,Parner,Kalamkarwadi
414302,MAHARASHTRA,AHMED NAGAR,Parner,Deshmukh Mala
414303,MAHARASHTRA,AHMED NAGAR,Parner,Dang mala
414304,MAHARASHTRA,AHMED NAGAR,Parner,Dhotre Kh.
414305,MAHARASHTRA,AHMED NAGAR,Parner,Doremala
414306,MAHARASHTRA,AHMED NAGAR,Parner,Badhe vasti
414401,MAHARASHTRA,AHMED NAGAR,Karjat,Chapadgaon
414402,MAHARASHTRA,AHMED NAGAR,Karjat,Benwadi
414403,MAHARASHTRA,AHMED NAGAR,Karjat,Baradgaon Dagadi
414501,MAHARASHTRA,AHMED NAGAR,Shevgaon,Garudwadi
414502,MAHARASHTRA,AHMED NAGAR,Shevgaon,Akhatwade
414503,MAHARASHTRA,AHMED NAGAR,Shevgaon,Hatgaon
414504,MAHARASHTRA,AHMED NAGAR,Shevgaon,Balam Takali
414505,MAHARASHTRA,AHMED NAGAR,Pathardi,Dhawalewadi
414601,MAHARASHTRA,AHMED NAGAR,Nagar,Dhangarwadi
414602,MAHARASHTRA,AHMED NAGAR,Nevasa,Gomalwadi
414603,MAHARASHTRA,AHMED NAGAR,Nevasa,Baku Pimpalgaon
414604,MAHARASHTRA,AHMED NAGAR,Nevasa,Chilekhanwadi
414605,MAHARASHTRA,AHMED NAGAR,Nevasa,Soundala
414606,MAHARASHTRA,AHMED NAGAR,Nevasa,Rastapur
414607,MAHARASHTRA,AHMED NAGAR,Nevasa,Derevasti
414609,MAHARASHTRA,AHMED NAGAR,Nevasa,Bhanashiware
414701,MAHARASHTRA,AHMED NAGAR,Shrigonda,Bori
415001,MAHARASHTRA,SATARA,Satara,Satara
415002,MAHARASHTRA,SATARA,Jaoli,Kolghar
415003,MAHARASHTRA,SATARA,Satara,Songaon S.nimb
415004,MAHARASHTRA,SATARA,Satara,Bhimnagar
415010,MAHARASHTRA,SATARA,Koregaon,Bagewadi
415011,MAHARASHTRA,SATARA,Satara,Bendwadi
415012,MAHARASHTRA,SATARA,Jaoli,Alewadi
415013,MAHARASHTRA,SATARA,Satara,Bhondavade
415014,MAHARASHTRA,SATARA,Patan,Daphalwadi (N.V.)
415015,MAHARASHTRA,SATARA,Satara,Kondvali
415019,MAHARASHTRA,SATARA,Satara,Angapur vandan
415020,MAHARASHTRA,SATARA,Jaoli,Mahigaon
415021,MAHARASHTRA,SATARA,Koregaon,Ambawade s. koregaon
415022,MAHARASHTRA,SATARA,Satara,Chinchani
415023,MAHARASHTRA,SATARA,Man,Gadgewadi
415101,MAHARASHTRA,KOLHAPUR,Shahuwadi,Atakurwadi
415102,MAHARASHTRA,SATARA,Khatav,Morale
415103,MAHARASHTRA,SATARA,Patan,Chikhalewadi (N.V.)
415104,MAHARASHTRA,SATARA,Karad,Kale
415105,MAHARASHTRA,SATARA,Karad,Meravewadi
415106,MAHARASHTRA,SATARA,Karad,Hanbarwadi
415107,MAHARASHTRA,SATARA,Satara,Limbachiwadi
415108,MAHARASHTRA,SATARA,Karad,Shere
415109,MAHARASHTRA,SATARA,Karad,Daphalwadi (N.V.)
415110,MAHARASHTRA,SATARA,Karad,Karad
415111,MAHARASHTRA,SATARA,Karad,Gharalwadi
415112,MAHARASHTRA,SATARA,Patan,Bacholi
415114,MAHARASHTRA,SATARA,Karad,Abachiwadi
415115,MAHARASHTRA,SATARA,Karad,Pimpari
415116,MAHARASHTRA,SATARA,Koregaon,Arvi
415122,MAHARASHTRA,SATARA,Karad,Chachegaon
415124,MAHARASHTRA,SATARA,Karad,Kapil
415202,MAHARASHTRA,RATNAGIRI,Mandangad,Dandnagari
415203,MAHARASHTRA,RATNAGIRI,Mandangad,Adkhalvan
415205,MAHARASHTRA,SATARA,Patan,Adul
415206,MAHARASHTRA,SATARA,Patan,Ambrag
415207,MAHARASHTRA,SATARA,Patan,Nawaja
415208,MAHARASHTRA,RATNAGIRI,Mandangad,Gothe
415209,MAHARASHTRA,SATARA,Patan,Divashi Bk.
415211,MAHARASHTRA,SATARA,Patan,Dhajgaon (N.V.)
415212,MAHARASHTRA,SATARA,Patan,Marul Haveli
415213,MAHARASHTRA,RAIGARH(MH),Mahad,Gomendi
415214,MAHARASHTRA,RATNAGIRI,Mandangad,Panderi
415301,MAHARASHTRA,SANGLI,Atpadi,Deshamukhwadi
415302,MAHARASHTRA,SANGLI,Walwa,Bichud
415303,MAHARASHTRA,SANGLI,Khanapur,Kamlapur
415304,MAHARASHTRA,SANGLI,Khanapur,Apsinge
415305,MAHARASHTRA,SANGLI,Khanapur,Ambegaon
415306,MAHARASHTRA,SANGLI,Atpadi,Hivtad
415307,MAHARASHTRA,SANGLI,Khanapur,Palashi
415308,MAHARASHTRA,SANGLI,Atpadi,Kharsundi
415309,MAHARASHTRA,SANGLI,Khanapur,Bhambarde
415310,MAHARASHTRA,SANGLI,Khanapur,Bhikawadi Bk.
415311,MAHARASHTRA,SANGLI,Khanapur,Dhanewadi
415312,MAHARASHTRA,SATARA,Khatav,Autadewadi
415313,MAHARASHTRA,SANGLI,Walwa,Takari
415315,MAHARASHTRA,SANGLI,Atpadi,Awalai
415401,MAHARASHTRA,SANGLI,Walwa,Dongarwadi
415402,MAHARASHTRA,SANGLI,Shirala,Kusaiwadi
415403,MAHARASHTRA,SANGLI,Walwa,Yede Nipani
415404,MAHARASHTRA,SANGLI,Walwa,Dhotrewadi
415405,MAHARASHTRA,SANGLI,Shirala,Nathavade
415406,MAHARASHTRA,SANGLI,Walwa,Kedarwadi
415407,MAHARASHTRA,SANGLI,Shirala,Khed
415408,MAHARASHTRA,SANGLI,Shirala,Dhamavade
415409,MAHARASHTRA,SANGLI,Walwa,Kharatwadi
415410,MAHARASHTRA,SANGLI,Palus,Bambavade
415411,MAHARASHTRA,SANGLI,Walwa,Kundalwadi
415412,MAHARASHTRA,SANGLI,Walwa,Chikurde
415413,MAHARASHTRA,SANGLI,Walwa,Farnewadi(borgaon)
415414,MAHARASHTRA,SANGLI,Shirala,sakharale
415415,MAHARASHTRA,SANGLI,Shirala,Khundalapur
415501,MAHARASHTRA,SATARA,Koregaon,Bobadewadi (N.V.)
415502,MAHARASHTRA,SATARA,Khatav,Katgun
415503,MAHARASHTRA,SATARA,Man,Khandyachiwadi(varugad)
415504,MAHARASHTRA,SATARA,Khatav,Anpatwadi
415505,MAHARASHTRA,SATARA,Khatav,Bhandewadi
415506,MAHARASHTRA,SATARA,Khatav,Dahiwad
415507,MAHARASHTRA,SATARA,Khatav,Banpuri
415508,MAHARASHTRA,SATARA,Man,Bijavadi
415509,MAHARASHTRA,SATARA,Man,Hawaldarwadi (paryanti)
415510,MAHARASHTRA,SATARA,Khatav,Gosavyachiwadi
415511,MAHARASHTRA,SATARA,Koregaon,RAHIMATPUR
415512,MAHARASHTRA,SATARA,Khatav,Goregaon (N) (Vangi)
415513,MAHARASHTRA,SATARA,Wai,Amrutwadi
415514,MAHARASHTRA,SATARA,Jaoli,Arde
415515,MAHARASHTRA,SATARA,Wai,Bhuinj
415516,MAHARASHTRA,SATARA,Wai,Kawathe
415517,MAHARASHTRA,SATARA,Wai,Surur
415518,MAHARASHTRA,SATARA,Satara,Majgaon
415519,MAHARASHTRA,SATARA,Satara,Shendre
415520,MAHARASHTRA,SATARA,Patan,Dhayati
415521,MAHARASHTRA,SATARA,Phaltan,Aradgaon
415522,MAHARASHTRA,SATARA,Phaltan,Hol
415523,MAHARASHTRA,SATARA,Phaltan,Bhadali Bk.
415524,MAHARASHTRA,SATARA,Koregaon,Fadtarwadi (N.V.)
415525,MAHARASHTRA,SATARA,Koregaon,Anpatwadi
415526,MAHARASHTRA,SATARA,Khandala,Dhangarwadi
415527,MAHARASHTRA,SATARA,Khatav,Bhosare
415528,MAHARASHTRA,SATARA,Phaltan,Bhilkatti
415530,MAHARASHTRA,SATARA,Wai,Gove
415536,MAHARASHTRA,SATARA,Wai,Chandak
415537,MAHARASHTRA,SATARA,Phaltan,Kapashi
415538,MAHARASHTRA,SATARA,Khatav,Bhushangad
415539,MAHARASHTRA,SATARA,Karad,Atake
415540,MAHARASHTRA,SATARA,Man,Kiraksal
415601,MAHARASHTRA,RATNAGIRI,Chiplun,Pophali
415602,MAHARASHTRA,RATNAGIRI,Chiplun,Adare
415603,MAHARASHTRA,RATNAGIRI,Chiplun,Alore
415604,MAHARASHTRA,RATNAGIRI,Chiplun,Kanhe
415605,MAHARASHTRA,RATNAGIRI,Chiplun,Adare
415606,MAHARASHTRA,RATNAGIRI,Chiplun,Durgwadi Kh.
415607,MAHARASHTRA,RATNAGIRI,Chiplun,Pate
415608,MAHARASHTRA,RATNAGIRI,Chiplun,Kokare
415609,MAHARASHTRA,RATNAGIRI,Sangameshwar,Tural
415610,MAHARASHTRA,RATNAGIRI,Sangameshwar,Kalambaste
415611,MAHARASHTRA,RATNAGIRI,Sangameshwar,Asurde
415612,MAHARASHTRA,RATNAGIRI,Ratnagiri,Bhave Adom
415613,MAHARASHTRA,RATNAGIRI,Guhagar,Jambhali Kh.
415614,MAHARASHTRA,RATNAGIRI,Ratnagiri,Nandivade
415615,MAHARASHTRA,RATNAGIRI,Ratnagiri,Marathwada
415616,MAHARASHTRA,RATNAGIRI,Ratnagiri,Mervi
415617,MAHARASHTRA,RATNAGIRI,Ratnagiri,Kotavade
415619,MAHARASHTRA,RATNAGIRI,Ratnagiri,Kapadgaon
415620,MAHARASHTRA,RATNAGIRI,Ratnagiri,Bhandarwada
415621,MAHARASHTRA,RATNAGIRI,Khed,Bharane
415626,MAHARASHTRA,RATNAGIRI,Ratnagiri,Gavade Ambere
415628,MAHARASHTRA,RATNAGIRI,Chiplun,Bhom
415629,MAHARASHTRA,RATNAGIRI,Ratnagiri,Shirgaon
415634,MAHARASHTRA,RATNAGIRI,Guhagar,Ranavi
415637,MAHARASHTRA,RATNAGIRI,Sangameshwar,Ambedu Bk.
415639,MAHARASHTRA,RATNAGIRI,Ratnagiri,Ambekarwadi
415640,MAHARASHTRA,RATNAGIRI,Khed,Khavati
415641,MAHARASHTRA,RATNAGIRI,Chiplun,Adare
415643,MAHARASHTRA,RATNAGIRI,Lanja,Borthade
415701,MAHARASHTRA,RATNAGIRI,Chiplun,Gudhe
415702,MAHARASHTRA,RATNAGIRI,Guhagar,Kutgiri
415703,MAHARASHTRA,RATNAGIRI,Guhagar,Jamsut
415705,MAHARASHTRA,RATNAGIRI,Guhagar,Adoor
415706,MAHARASHTRA,RATNAGIRI,Dapoli,Bhati
415708,MAHARASHTRA,RATNAGIRI,Khed,Asagani
415709,MAHARASHTRA,RATNAGIRI,Khed,Ganwalwadi
415710,MAHARASHTRA,RATNAGIRI,Khed,Dayal
415711,MAHARASHTRA,RATNAGIRI,Dapoli,Dabhil
415712,MAHARASHTRA,RATNAGIRI,Dapoli,Apatadi
415713,MAHARASHTRA,RATNAGIRI,Guhagar,Karde
415714,MAHARASHTRA,RATNAGIRI,Dapoli,Anjarla
415715,MAHARASHTRA,SATARA,Jaoli,Araw
415716,MAHARASHTRA,RATNAGIRI,Dapoli,Samsher Ali Nagar
415717,MAHARASHTRA,RATNAGIRI,Dapoli,Atgaon
415718,MAHARASHTRA,RATNAGIRI,Khed,Kavale
415719,MAHARASHTRA,RATNAGIRI,Guhagar,Daphalewadi
415720,MAHARASHTRA,RATNAGIRI,Dapoli,Devke
415722,MAHARASHTRA,RATNAGIRI,Khed,Dhakarwadi
415724,MAHARASHTRA,RATNAGIRI,Guhagar,Ghadewadi
415726,MAHARASHTRA,RATNAGIRI,Guhagar,Khodade
415727,MAHARASHTRA,RATNAGIRI,Khed,Hodkhad Kh.
415728,MAHARASHTRA,RATNAGIRI,Guhagar,Naravan
415729,MAHARASHTRA,RATNAGIRI,Guhagar,Sakhari Agar
415730,MAHARASHTRA,RATNAGIRI,Khed,Ainavali
415801,MAHARASHTRA,RATNAGIRI,Sangameshwar,Bhadkambe
415802,MAHARASHTRA,RATNAGIRI,Lanja,Shiposhi
415803,MAHARASHTRA,RATNAGIRI,Lanja,Anjanari
415804,MAHARASHTRA,RATNAGIRI,Chiplun,Bamnoli
415805,MAHARASHTRA,RATNAGIRI,Rajapur,Juve Jaitapur
415806,MAHARASHTRA,RATNAGIRI,Rajapur,Ambolgad
415807,MAHARASHTRA,RATNAGIRI,Chiplun,Adare
416001,MAHARASHTRA,KOLHAPUR,Karvir,Arale
416002,MAHARASHTRA,KOLHAPUR,Karvir,Karvir
416003,MAHARASHTRA,KOLHAPUR,Karvir,Karvir
416004,MAHARASHTRA,KOLHAPUR,Karvir,Karvir
416005,MAHARASHTRA,KOLHAPUR,Karvir,Karvir
416006,MAHARASHTRA,KOLHAPUR,Karvir,Karvir
416007,MAHARASHTRA,KOLHAPUR,Shahuwadi,Marale
416008,MAHARASHTRA,KOLHAPUR,Karvir,Karvir
416010,MAHARASHTRA,KOLHAPUR,Karvir,Karvir
416011,MAHARASHTRA,KOLHAPUR,Karvir,Shelakewadi
416012,MAHARASHTRA,KOLHAPUR,Karvir,Karvir
416013,MAHARASHTRA,KOLHAPUR,Karvir,Girgaon
416101,MAHARASHTRA,KOLHAPUR,Shirol,Kondigre
416102,MAHARASHTRA,KOLHAPUR,Shirol,Dharangutti
416103,MAHARASHTRA,KOLHAPUR,Shirol,Hasur
416104,MAHARASHTRA,KOLHAPUR,Shirol,Aurwad
416105,MAHARASHTRA,KOLHAPUR,Shirol,Ganeshwadi
416106,MAHARASHTRA,KOLHAPUR,Shirol,Shirol
416107,MAHARASHTRA,KOLHAPUR,Shirol,Danwad
416108,MAHARASHTRA,KOLHAPUR,Shirol,Rajapurwadi
416109,MAHARASHTRA,KOLHAPUR,Radhanagari,Malve
416110,MAHARASHTRA,KOLHAPUR,Hatkanangle,Khochi
416111,MAHARASHTRA,KOLHAPUR,Hatkanangle,Kumbhoj
416112,MAHARASHTRA,KOLHAPUR,Hatkanangle,Ambap
416113,MAHARASHTRA,KOLHAPUR,Panhala,Jakhale
416114,MAHARASHTRA,KOLHAPUR,Chandgad,Asagoli
416115,MAHARASHTRA,KOLHAPUR,Hatkanangle,Hatkanangale
416116,MAHARASHTRA,KOLHAPUR,Hatkanangle,Hatkanangale
416118,MAHARASHTRA,KOLHAPUR,Hatkanangle,Male
416119,MAHARASHTRA,KOLHAPUR,Karvir,Chinchwad
416120,MAHARASHTRA,KOLHAPUR,Shirol,Shirol
416121,MAHARASHTRA,KOLHAPUR,Shirol,Jambhali
416122,MAHARASHTRA,KOLHAPUR,Hatkanangle,Sambhapur
416138,MAHARASHTRA,KOLHAPUR,Hatkanangle,Chandur
416143,MAHARASHTRA,KOLHAPUR,Shirol,Latwadi
416144,MAHARASHTRA,KOLHAPUR,Shirol,Shirol
416146,MAHARASHTRA,KOLHAPUR,Hatkanangle,Hatkanangale
416201,MAHARASHTRA,KOLHAPUR,Panhala,Ambavade
416202,MAHARASHTRA,KOLHAPUR,Karvir,Halsavade
416203,MAHARASHTRA,KOLHAPUR,Hatkanangle,Hatkanangale
416204,MAHARASHTRA,KOLHAPUR,Karvir,Bololi
416205,MAHARASHTRA,KOLHAPUR,Panhala,Akurde
416206,MAHARASHTRA,KOLHAPUR,Bavda,Asalaj
416207,MAHARASHTRA,KOLHAPUR,Karvir,Chuye
416208,MAHARASHTRA,KOLHAPUR,Kagal,Boravade
416209,MAHARASHTRA,KOLHAPUR,Bhudargad,Ambavane
416210,MAHARASHTRA,KOLHAPUR,Bhudargad,Anturli
416211,MAHARASHTRA,KOLHAPUR,Radhanagari,Chandre
416212,MAHARASHTRA,KOLHAPUR,Radhanagari,Akanur
416213,MAHARASHTRA,KOLHAPUR,Panhala,Bahirewadi
416214,MAHARASHTRA,KOLHAPUR,Kagal,Kapashi
416215,MAHARASHTRA,KOLHAPUR,Shahuwadi,Chanwad
416216,MAHARASHTRA,KOLHAPUR,Kagal,Kagal
416218,MAHARASHTRA,KOLHAPUR,Kagal,Belewadi Kalamma
416219,MAHARASHTRA,KOLHAPUR,Bhudargad,Bhadgaon
416220,MAHARASHTRA,KOLHAPUR,Ajra,Ajra
416221,MAHARASHTRA,KOLHAPUR,Kagal,Valave Kh.
416223,MAHARASHTRA,KOLHAPUR,Bhudargad,Devakewadi
416229,MAHARASHTRA,KOLHAPUR,Panhala,Porle T.Thane
416230,MAHARASHTRA,KOLHAPUR,Panhala,Pimple T.Thane
416231,MAHARASHTRA,KOLHAPUR,Radhanagari,Bujawade
416232,MAHARASHTRA,KOLHAPUR,Kagal,Ekondi
416234,MAHARASHTRA,KOLHAPUR,Karvir,Kaneri
416235,MAHARASHTRA,KOLHAPUR,Kagal,Anur
416236,MAHARASHTRA,KOLHAPUR,Kagal,Kagal
416301,MAHARASHTRA,SANGLI,Miraj,Tung
416302,MAHARASHTRA,SANGLI,Walwa,Bagani
416303,MAHARASHTRA,SANGLI,Palus,Tavdarwadi
416304,MAHARASHTRA,SANGLI,Miraj,Kavaji Khotwadi
416305,MAHARASHTRA,SANGLI,Miraj,Kasabe Digraj
416306,MAHARASHTRA,SANGLI,Miraj,Kavalapur
416307,MAHARASHTRA,SANGLI,Tasgaon,Kavathe Ekand
416308,MAHARASHTRA,SANGLI,Palus,Dudhondi
416309,MAHARASHTRA,SANGLI,Khanapur,Balvadi Bhalvani
416310,MAHARASHTRA,SANGLI,Palus,Morale (Rajapur)
416311,MAHARASHTRA,SANGLI,Tasgaon,Nagewadi
416312,MAHARASHTRA,SANGLI,Tasgaon,Alate
416313,MAHARASHTRA,SANGLI,Walwa,Shirgaon
416314,MAHARASHTRA,SANGLI,Tasgaon,Visapur
416315,MAHARASHTRA,SANGLI,Miraj,Malwadi
416316,MAHARASHTRA,SANGLI,Palus,Ankalkhop
416401,MAHARASHTRA,SANGLI,Miraj,Khatav
416402,MAHARASHTRA,SANGLI,Jat,Dafalapur
416403,MAHARASHTRA,SOLAPUR,Sangole,Kidabisari
416404,MAHARASHTRA,SANGLI,Jat,Bevanur
416405,MAHARASHTRA,SANGLI,Kavathemahankal,Ghatnandre
416406,MAHARASHTRA,SANGLI,Miraj,madhavnagar
416407,MAHARASHTRA,SANGLI,Miraj,Gundewadi
416408,MAHARASHTRA,SANGLI,Tasgaon,Savarde
416409,MAHARASHTRA,SANGLI,Miraj,Vijay Nagar
416410,MAHARASHTRA,SANGLI,Miraj,Shipur
416411,MAHARASHTRA,SANGLI,Kavathemahankal,Ranjani
416412,MAHARASHTRA,SANGLI,Jat,Asangi Jat
416413,MAHARASHTRA,SANGLI,Jat,Girgaon
416414,MAHARASHTRA,SANGLI,Miraj,WANLESSWADI
416415,MAHARASHTRA,SANGLI,Miraj,Warnali Road
416416,MAHARASHTRA,SANGLI,Miraj,Inam Dhamani
416417,MAHARASHTRA,SANGLI,Miraj,Kavathe Piran
416418,MAHARASHTRA,SANGLI,Kavathemahankal,Kuktoli
416419,MAHARASHTRA,SANGLI,Kavathemahankal,Alkud (m)
416420,MAHARASHTRA,SANGLI,Miraj,Soni
416436,MAHARASHTRA,SANGLI,Miraj,kupwad
416437,MAHARASHTRA,SANGLI,Miraj,subhashnagar
416501,MAHARASHTRA,KOLHAPUR,Gadhinglaj,Aurnal
416502,MAHARASHTRA,KOLHAPUR,Gadhinglaj,Gadhinglaj
416503,MAHARASHTRA,KOLHAPUR,Gadhinglaj,Gadhinglaj
416504,MAHARASHTRA,KOLHAPUR,Gadhinglaj,Saroli
416505,MAHARASHTRA,KOLHAPUR,Ajra,Bolakewadi
416506,MAHARASHTRA,KOLHAPUR,Gadhinglaj,Hasursasgiri
416507,MAHARASHTRA,KOLHAPUR,Chandgad,Basarge
416508,MAHARASHTRA,KOLHAPUR,Chandgad,Dhekoli
416509,MAHARASHTRA,KOLHAPUR,Chandgad,Fatakwadi (N.V)
416510,MAHARASHTRA,SINDHUDURG,Kudal,Akeri
416511,MAHARASHTRA,SINDHUDURG,Dodamarg,Bhekurli
416512,MAHARASHTRA,SINDHUDURG,Dodamarg,Ayee
416513,MAHARASHTRA,SINDHUDURG,Sawantwadi,Savarjuva
416514,MAHARASHTRA,SINDHUDURG,Sawantwadi,Kavthani
416515,MAHARASHTRA,SINDHUDURG,Vengurla,Padatal
416516,MAHARASHTRA,SINDHUDURG,Vengurla,Ansur
416517,MAHARASHTRA,SINDHUDURG,Vengurla,Huda
416518,MAHARASHTRA,SINDHUDURG,Vengurla,Asoli
